,mean,std
3536,3.5,0.165610022
3537,1,0.035953519
3538,4.125,0.247544553
3539,1.3,0.070050926
3540,1.333333333,0.055696546
3541,2,0.101724852
3542,2.666666667,0.230692894
3543,1,0.039380002
3544,2.111111111,0.117028696
3545,1,0.027856694
3546,1.25,0.06430519
3547,6.142857143,0.52148292
3548,1.666666667,0.048250598
3549,1.333333333,0.068190478
3550,3.285714286,0.233634997
3551,1.333333333,0.039397015
3552,12.5,0.343889453
3553,2.6,0.198248222
3554,3,0.300678819
3555,1.857142857,0.107877952
3556,2.625,0.166340397
3557,4.625,0.225621133
3558,1.375,0.066276817
3559,3,0.102995558
3560,9,0.69500875
3561,1.75,0.101693227
3562,2.3,0.169406893
3563,3,0.142952263
3564,2.545454545,0.191589296
3565,2.842105263,0.33411791
3566,2.333333333,0.08358291
3567,3.7,0.328413539
3568,4.538461538,0.422049192
3569,2.071428571,0.172375324
3570,2.8,0.111411138
3571,1.785714286,0.13153764
3572,2.666666667,0.132611253
3573,1.142857143,0.050836728
3574,2.2,0.105466282
3575,2.625,0.144701787
3576,3,0.193664767
3577,1.2,0.06428226
3578,2.333333333,0.115965108
3579,3.222222222,0.216329423
3580,1.4,0.053331457
3581,1.857142857,0.097809627
3582,3,0.109078843
3583,2.6,0.135529232
3584,3,0.188190896
3585,2,0.213245394
3586,1.333333333,0.071886533
3587,3,0.152565537
3588,1.222222222,0.062248567
3589,3,0.134577048
3590,4.25,0.226925099
3591,4.157894737,0.565049994
3592,1.285714286,0.05796406
3593,1,0.035953519
3594,2.090909091,0.133515229
3595,1.875,0.159086686
3596,5.333333333,0.162441355
3597,2.666666667,0.163870258
3598,1.571428571,0.073675512
3599,1.428571429,0.06430519
3600,3.555555556,0.240660344
3601,2,0.150781042
3602,1.714285714,0.08507998
3603,2.4,0.17167453
3604,1.25,0.042548653
3605,1.666666667,0.075421181
3606,2.307692308,0.191569009
3607,2.8,0.164039468
3608,1.285714286,0.05796406
3609,1.571428571,0.128588495
3610,6.333333333,0.338880234
3611,1.416666667,0.089473375
3612,3.454545455,0.274758359
3613,3.2,0.143847622
3614,2.5,0.115992842
3615,3.333333333,0.162411651
3616,3.904761905,0.351859593
3617,2.916666667,0.54444509
3618,10.7,0.790186418
3619,8.8,0.383283508
3620,2.333333333,0.106662913
3621,3.5,0.259874041
3622,2,0.13259407
3623,1.090909091,0.060120518
3624,2.428571429,0.240978401
